126: ( 0, 0) = 1
2648: ( 1694, 847) = inf
2649: ( 1696, 848) = inf
2650: ( 1698, 849) = inf
2652: ( 1700, 850) = inf
2653: ( 1702, 851) = inf
2654: ( 1704, 852) = inf
2655: ( 1706, 853) = inf
2656: ( 1708, 854) = inf
2657: ( 1710, 855) = inf
2658: ( 1712, 856) = inf
2659: ( 1714, 857) = inf
2662: ( 1716, 858) = inf
2665: ( 1718, 859) = inf
2689: ( 1720, 860) = inf
2701: ( 1722, 861) = inf
2703: ( 1724, 862) = inf
2705: ( 1726, 863) = inf
2707: ( 1728, 864) = inf
2708: ( 1730, 865) = inf
2720: ( 1732, 866) = inf
2723: ( 1734, 867) = inf
2724: ( 1736, 868) = inf
2725: ( 1738, 869) = inf
2726: ( 1740, 870) = inf
2727: ( 1742, 871) = inf
2729: ( 1744, 872) = inf
2747: ( 1746, 873) = inf
2752: ( 1748, 874) = inf
